=== File: D:\desktop\project\Tirvona_SEO_Professional_Curated_Keyword_Mapping_Final (1).xlsx ===

--- Sheet: xl/worksheets/sheet1.xml ---
Keyword Cluster	Primary Keyword	Search Intent	Mapped Page / Section	URL / Status	SEO Note
Prem Mandir	hotel near prem mandir	Commercial / Transactional	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	hotel near prem mandir vrindavan	Commercial / Transactional	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	stay near prem mandir	Commercial / Transactional	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	stay near prem mandir vrindavan	Commercial / Transactional	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	hotel in vrindavan near prem mandir	Commercial / Transactional	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	guest house vrindavan near prem mandir	Commercial / Transactional	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	hotels in vrindavan near prem mandir under 1000	Transactional – Budget	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Prem Mandir	hotel near prem mandir vrindavan under 1000	Transactional – Budget	Stays Near Prem Mandir, Vrindavan – Existing Landing Page	https://www.tirvona.com/Stays-near-prem-mandir-vrindavan	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	hotel near iskcon vrindavan	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	hotel near vrindavan iskcon temple	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	stay near iskcon vrindavan	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	places to stay near iskcon vrindavan	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	hotel in vrindavan near iskcon temple	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	guest house near iskcon vrindavan	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	guest house in vrindavan near iskcon temple	Commercial / Transactional	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
ISKCON	hotel booking in vrindavan near iskcon temple	Transactional – Booking	Stays in Vrindavan – ISKCON Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	budget hotel vrindavan	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	cheap hotel vrindavan	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	budget hotel in vrindavan near prem mandir	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	budget hotels in vrindavan near iskcon temple	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	best budget hotel in vrindavan	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	cheap room vrindavan	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	room under 1000 vrindavan	Transactional – Budget	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Budget Stays	vrindavan room booking under 1000	Transactional – Booking	Stays in Vrindavan – Budget Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	hotel in vrindavan for family	Transactional – Family	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	best hotel in vrindavan for family	Transactional – Family	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	good hotels in vrindavan for family	Transactional – Family	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	budget hotels in vrindavan for family	Transactional – Budget	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	hotel in vrindavan under 1000 for family	Transactional – Budget	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	family stay in vrindavan	Transactional – Family	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	best family stay in vrindavan	Transactional – Family	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
Family Stays	family hotel vrindavan	Transactional – Family	Stays in Vrindavan – Family Stays Section / Filter	Existing relevant page/section – verify final URL	Primary keyword for this cluster; use naturally in page copy, headings, metadata or relevant section.
